iter	Passed	Remaining
0	4	846
1	7	757
2	10	701
3	13	681
4	16	658
5	19	641
6	22	630
7	25	623
8	29	618
9	32	609
10	35	602
11	38	600
12	41	597
13	44	593
14	47	590
15	50	583
16	53	577
17	56	572
18	59	567
19	62	565
20	66	566
21	69	561
22	72	556
23	75	553
24	78	548
25	81	546
26	84	543
27	87	539
28	90	534
29	94	532
30	97	530
31	100	527
32	103	523
33	106	519
34	109	514
35	112	511
36	115	508
37	118	505
38	121	500
39	124	496
40	127	492
41	130	489
42	132	485
43	135	481
44	138	478
45	141	475
46	144	471
47	148	468
48	151	465
49	154	462
50	157	460
51	160	457
52	164	455
53	167	451
54	170	448
55	173	445
56	175	441
57	178	438
58	182	435
59	184	431
60	187	428
61	190	424
62	193	420
63	196	418
64	200	415
65	203	412
66	205	408
67	209	406
68	213	404
69	216	401
70	219	398
71	222	394
72	225	391
73	228	389
74	231	386
75	234	382
76	237	379
77	240	375
78	243	372
79	246	369
80	249	366
81	252	363
82	255	359
83	258	356
84	261	354
85	264	351
86	267	347
87	270	344
88	273	340
89	276	337
90	279	334
91	282	331
92	285	328
93	288	325
94	291	322
95	294	319
96	297	315
97	300	312
98	303	309
99	306	306
100	309	303
101	312	300
102	315	296
103	318	293
104	321	290
105	324	287
106	327	284
107	329	281
108	333	278
109	335	274
110	338	271
111	341	268
112	344	265
113	347	262
114	350	259
115	353	255
116	356	252
117	359	249
118	362	246
119	365	243
120	368	240
121	370	237
122	373	233
123	376	230
124	379	227
125	382	224
126	385	221
127	388	218
128	391	215
129	394	212
130	397	209
131	400	206
132	403	203
133	406	200
134	409	197
135	412	194
136	415	190
137	418	187
138	421	184
139	424	181
140	427	178
141	430	175
142	432	172
143	435	169
144	438	166
145	442	163
146	445	160
147	447	157
148	450	154
149	453	151
150	456	148
151	460	145
152	462	142
153	465	139
154	468	136
155	471	133
156	474	129
157	477	126
158	480	123
159	483	120
160	486	117
161	489	114
162	492	111
163	495	108
164	498	105
165	501	102
166	503	99
167	507	96
168	511	93
169	514	90
170	517	87
171	521	84
172	524	81
173	526	78
174	529	75
175	532	72
176	535	69
177	538	66
178	542	63
179	545	60
180	548	57
181	551	54
182	554	51
183	557	48
184	560	45
185	563	42
186	566	39
187	569	36
188	572	33
189	576	30
190	579	27
191	582	24
192	585	21
193	588	18
194	591	15
195	593	12
196	596	9
197	599	6
198	602	3
199	605	0
